date	open	high	low	close	volume
 2015/07/20-09:45	7528.2	7528.2	7108	7176	25
 2015/07/20-10:00	7238.8	7381.2	7238.8	7313.4	17
 2015/07/20-10:15	7293.4	7293.4	7240.2	7287.4	26
 2015/07/20-10:30	7227.8	7241	7215	7235	14
 2015/07/20-10:45	7279.8	7279.8	7100.8	7100.8	13
 2015/07/20-11:00	7000.6	7030.4	6772.4	6772.4	27
 2015/07/20-11:15	6772.4	6949.8	6714	6905	36
 2015/07/20-11:30	6743	6858.6	6721	6721	32
 2015/07/20-13:15	6721	6964.8	6721	6832.6	17
 2015/07/20-13:30	6760	6850	6714	6850	11
 2015/07/20-13:45	6841	6888.8	6800	6800	7
 2015/07/20-14:00	6755	6755	6714.8	6749	7
 2015/07/20-14:15	6800.8	6900	6800.8	6900	8
 2015/07/20-14:30	6880	7028	6860	7013.6	15
 2015/07/20-14:45	7030.4	7056	6900	6940	11
 2015/07/20-15:00	6940	6940	6821.4	6822	14
 2015/07/21-09:45	6825.2	6899.8	6719	6899.8	31
 2015/07/21-10:00	6857.6	6984	6857.6	6984	7
 2015/07/21-10:15	6966.6	6966.6	6886	6904	8
 2015/07/21-10:30	6888	7009	6888	7009	4
 2015/07/21-10:45	7009.8	7060	6988	6988	7
 2015/07/21-11:00	6855.2	6855.2	6772.4	6772.8	5
 2015/07/21-11:15	6808.4	6878	6796.4	6878	10
 2015/07/21-11:30	6867.2	6951.2	6867.2	6888	3
 2015/07/21-13:15	6898.4	7027.2	6898.4	7009.4	4
 2015/07/21-13:30	7031.4	7050	6980.4	7047.2	6
 2015/07/21-13:45	7064	7064	6990.8	7024	5
 2015/07/21-14:00	7148.2	7148.2	7069.8	7104	5
 2015/07/21-14:15	7144	7144	6983.4	7115.8	10
 2015/07/21-14:30	7026	7026	6986.6	6986.6	3
 2015/07/21-14:45	6986.6	6986.6	6970	6970	1
 2015/07/21-15:00	6942	6998	6933	6994.8	6
 2015/07/22-09:45	7080	7122.8	7026.2	7089.4	10
 2015/07/22-10:00	7089.4	7089.4	7030.4	7030.4	2
 2015/07/22-10:15	7027.8	7122.6	7027.8	7122.6	5
 2015/07/22-10:30	7122.6	7122.6	7050	7080	2
 2015/07/22-10:45	7080	7160.6	7080	7160.6	3
 2015/07/22-11:00	7089.2	7119.6	7089.2	7119.6	2
 2015/07/22-11:15	7040.6	7040.6	6963.4	6963.4	9
 2015/07/22-11:30	7015.4	7015.4	6959.4	6959.4	4
 2015/07/22-13:15	6959.4	6959.4	6915	6915	1
 2015/07/22-13:30	6915	6945.2	6915	6945.2	1
 2015/07/22-13:45	6938.2	6945.4	6900	6900	3
 2015/07/22-14:00	6880.2	6880.2	6850.4	6850.4	4
 2015/07/22-14:15	6969.6	7015	6969.6	6990.8	5
 2015/07/22-14:30	7013	7014.4	6977.8	6977.8	3
 2015/07/22-14:45	7033.6	7033.6	7008.4	7032.6	4
 2015/07/22-15:00	7032.6	7033	7032.6	7033	1
 2015/07/23-09:45	7115.8	7140	7049.8	7083.2	30
 2015/07/23-10:00	7076.2	7076.2	7012.2	7022.6	6
 2015/07/23-10:15	7022.6	7076.4	7021	7040	30
 2015/07/23-10:30	7010	7100	7000.8	7060.8	7
 2015/07/23-10:45	7055	7159	7050.4	7128.6	11
 2015/07/23-11:00	7086.6	7149.6	7086.6	7113	10
 2015/07/23-11:15	7160	7241.4	7136.2	7241.4	7
 2015/07/23-11:30	7241.4	7285	7189.2	7285	4
 2015/07/23-13:15	7360.2	7411.2	7360.2	7411.2	8
 2015/07/23-13:30	7427	7439	7405.8	7428.8	31
 2015/07/23-13:45	7453	7659.4	7453	7535.4	14
 2015/07/23-14:00	7678.6	7678.6	7528	7598	11
 2015/07/23-14:15	7600	7646	7569	7571.4	8
 2015/07/23-14:30	7600	7674.2	7600	7657.6	17
 2015/07/23-14:45	7660.6	7717.6	7657	7717.6	33
 2015/07/23-15:00	7717.6	7717.6	7630.4	7707	44
 2015/07/24-09:45	7798	7889.8	7798	7889.8	26
 2015/07/24-10:00	7850	7850	7771.2	7788	20
 2015/07/24-10:15	7792	7849.8	7792	7840	21
 2015/07/24-10:30	7787	7787	7696	7730	28
 2015/07/24-10:45	7708.4	7710	7594	7633.2	20
 2015/07/24-11:00	7636	7659.2	7570.2	7624.8	13
 2015/07/24-11:15	7624.8	7745	7624.8	7658.4	25
 2015/07/24-11:30	7722	7819.2	7722	7819.2	9
 2015/07/24-13:15	7753.8	7856.2	7753.8	7815	11
 2015/07/24-13:30	7827.4	7830.2	7731.2	7760.6	13
 2015/07/24-13:45	7658	7676	7572.4	7611.6	13
 2015/07/24-14:00	7615.4	7674.8	7615.4	7674.8	4
 2015/07/24-14:15	7681.4	7699	7582.2	7582.2	10
 2015/07/24-14:30	7655.8	7666	7620	7632.8	8
 2015/07/24-14:45	7580	7596	7470	7470	14
 2015/07/24-15:00	7452	7452	7226	7279	18
 2015/07/27-09:45	7235.4	7346.8	7118.4	7346.8	32
 2015/07/27-10:00	7299.4	7372.8	7265.8	7372.8	5
 2015/07/27-10:15	7365.2	7392.4	7320	7320	6
 2015/07/27-10:30	7392.2	7448.8	7392.2	7420.2	4
 2015/07/27-10:45	7413.6	7413.6	7288	7310	5
 2015/07/27-11:00	7309.8	7320.8	7280.8	7286.4	7
 2015/07/27-11:15	7306.4	7413	7267	7267	7
 2015/07/27-11:30	7263.6	7280	7197.6	7197.6	9
 2015/07/27-13:15	7182.4	7208.2	7158	7208	7
 2015/07/27-13:30	7188.4	7188.4	7065	7088	18
 2015/07/27-13:45	7096.4	7159.8	7096.4	7159.8	5
 2015/07/27-14:00	7147.4	7185.8	7122.4	7122.4	4
 2015/07/27-14:15	7089	7089	7020	7020	5
 2015/07/27-14:30	7010.8	7010.8	6928.8	6931.8	8
 2015/07/27-14:45	6931	6931	6718	6793.6	25
 2015/07/27-15:00	6734.8	6734.8	6713.8	6713.8	12
 2015/07/28-09:45	6398.8	6578.6	6394	6484.6	26
 2015/07/28-10:00	6484.6	6484.6	6343	6377.4	13
 2015/07/28-10:15	6426	6426	6426	6426	2
 2015/07/28-10:30	6472	6544.8	6472	6519	6
 2015/07/28-10:45	6484.8	6619.8	6484.8	6549.6	7
 2015/07/28-11:00	6590	6760.6	6590	6752.4	10
 2015/07/28-11:15	6661	6661	6571	6571	7
 2015/07/28-11:30	6603.2	6705.6	6553.4	6705.6	12
 2015/07/28-13:15	6705.6	6705.6	6510	6511	5
 2015/07/28-13:30	6598	6598	6427	6427	9
 2015/07/28-13:45	6449.6	6486	6407	6486	4
 2015/07/28-14:00	6472.4	6500	6450	6499	7
 2015/07/28-14:15	6550	6660	6550	6578.6	10
 2015/07/28-14:30	6578.6	6649.6	6578.6	6600.8	6
 2015/07/28-14:45	6550	6610	6522.8	6575	10
 2015/07/28-15:00	6610	6610	6470	6503.8	29
 2015/07/29-09:45	6642	6890	6642	6800	33
 2015/07/29-10:00	6790	6790	6700	6700	19
 2015/07/29-10:15	6700	6779.4	6693	6693	14
 2015/07/29-10:30	6680.8	6680.8	6528	6528	17
 2015/07/29-10:45	6530	6603.8	6520	6603.8	18
 2015/07/29-11:00	6603.8	6649.2	6570	6570	3
 2015/07/29-11:15	6617.6	6680	6617.6	6626	10
 2015/07/29-11:30	6626	6626	6506	6506	1
 2015/07/29-13:15	6506	6506	6506	6506	0
 2015/07/29-13:30	6360	6360	6350	6350	2
 2015/07/29-13:45	6305	6395	6305	6395	2
 2015/07/29-14:00	6440	6511	6412.2	6511	10
 2015/07/29-14:15	6511	6538	6460.6	6538	3
 2015/07/29-14:30	6538	6619	6538	6619	1
 2015/07/29-14:45	6798.8	6798.8	6734.6	6734.6	3
 2015/07/29-15:00	6734.6	6986	6734.6	6986	20
 2015/07/30-09:45	6969.8	6970	6801.2	6885.2	45
 2015/07/30-10:00	6904.4	6904.4	6721.6	6721.6	13
 2015/07/30-10:15	6721.6	6857.2	6721.6	6857.2	7
 2015/07/30-10:30	6857.2	6862	6772.2	6817.4	5
 2015/07/30-10:45	6897	6916.8	6871.2	6881.4	11
 2015/07/30-11:00	6881.4	6881.4	6762.2	6785.6	4
 2015/07/30-11:15	6785.6	6800	6701.4	6701.4	10
 2015/07/30-11:30	6711.8	6860	6711.8	6860	10
 2015/07/30-13:15	6860	6862.2	6860	6862.2	1
 2015/07/30-13:30	6905	6921.8	6850	6921.8	12
 2015/07/30-13:45	6922.8	6922.8	6859.8	6870.6	4
 2015/07/30-14:00	6870	6996.2	6870	6889.2	11
