date	open	high	low	close	volume
 2010/06/01	986.02	994.79	948.12	973.23	1583073
 2010/06/02	967.61	997.12	952.61	997.12	1202131
 2010/06/03	1002.35	1026.7	997.78	998.39	1729802
 2010/06/04	989.68	1027.68	986.5	1027.68	1571654
 2010/06/07	1005.03	1075.22	1001.7	1069.47	2769355
 2010/06/08	1067.32	1075.5	1050.96	1067.15	2062969
 2010/06/09	1070.85	1102.1	1069.43	1077.82	2541568
 2010/06/10	1077.68	1119.11	1076.28	1117.48	2197404
 2010/06/11	1122.44	1128.23	1118.71	1122.2	2224874
 2010/06/17	1126.13	1129.69	1064.84	1064.84	1764283
 2010/06/18	1052.07	1053.14	993.17	1000.28	1630650
 2010/06/21	991.96	1043.16	976.41	1040.8	1574797
 2010/06/22	1037.04	1057.36	1033.65	1034.99	1427162
 2010/06/23	1026.86	1056.35	1023.74	1047.34	1257359
 2010/06/24	1046.76	1059.75	1041.54	1050.6	1069132
 2010/06/25	1046.21	1046.21	999.16	1016.28	1781242
 2010/06/28	1009.22	1014.41	984.22	987.83	1180048
 2010/06/29	985.57	992.23	912.54	913.31	1742055
 2010/06/30	898.29	921.81	881.36	919.31	1408707
 2010/07/01	914.4	921.21	882.19	882.19	1199397
 2010/07/02	878.95	885.34	832.62	873.12	1436579
 2010/07/05	857.37	870.86	842.73	862.27	1015804
 2010/07/06	859.26	898.45	857.8	893.72	1268273
 2010/07/07	896.53	908.55	890.34	908.55	1154522
 2010/07/08	912	914.3	887.03	905.51	1823587
 2010/07/09	903.5	936.53	896.89	932.15	1844847
 2010/07/12	931.54	941.07	924.06	930.17	1473329
 2010/07/13	924.95	936.64	906.3	931.08	1683635
 2010/07/14	929.75	937.93	916.07	922.36	1621514
 2010/07/15	920.05	930.56	892.56	892.56	1381135
 2010/07/16	885.07	895.06	869.02	892.3	1123317
 2010/07/19	881.66	910.18	878.07	908.05	1018964
 2010/07/20	909.54	937.55	909.54	937.02	1477184
 2010/07/21	940.1	959.04	938.16	941.25	1782674
 2010/07/22	938.22	950.21	932.02	950.21	1326602
 2010/07/23	951.84	964.74	948.13	960.59	1721251
 2010/07/26	962.76	966.73	954.76	966.15	1476035
 2010/07/27	963.54	968.04	955.73	957.97	1361821
 2010/07/28	955.19	972.53	954.52	972.53	2057862
 2010/07/29	974.3	982.02	965.61	975.36	2113521
 2010/07/30	971.66	971.66	955.92	968.43	1691712
 2010/08/02	968.45	994.23	968.45	994.23	1962783
 2010/08/03	995.2	996.26	975.65	975.65	1885147
 2010/08/04	971.41	978.01	955.93	978.01	1624911
 2010/08/05	980.27	998.1	978.33	987.35	1915500
 2010/08/06	987.97	1011.39	985.63	1011.39	2360264
 2010/08/09	1013.25	1032.34	1013.25	1032.34	2428507
 2010/08/10	1031.98	1034.33	993.99	993.99	2411715
 2010/08/11	991.28	1006.45	990.94	1004.64	1759141
 2010/08/12	994.05	1007.58	987.98	991.78	2286132
 2010/08/13	992.63	1007.52	986.62	1007.21	1782848
 2010/08/16	1007.5	1031.05	1005.05	1030.22	2091177
 2010/08/17	1031.08	1036.82	1023.08	1033.58	1963471
 2010/08/18	1033.71	1035.61	1018.5	1026.72	1811909
 2010/08/19	1026.98	1033.25	1021.7	1025.53	1750952
 2010/08/20	1021.46	1022.45	993.56	995.94	2404560
 2010/08/23	994.94	1001.18	991.52	995.61	1773928
 2010/08/24	993.58	1007.76	987.22	1004.99	1608155
 2010/08/25	1000.27	1002.33	976.55	976.88	2166638
 2010/08/26	978.6	984.87	973	980.63	1700767
 2010/08/27	978.51	1000.86	975.72	999.46	2173480
 2010/08/30	1002.99	1025.15	1002.99	1024.93	2358186
 2010/08/31	1020.75	1029.8	1015.13	1025.57	2175334
 2010/09/01	1025.68	1029.81	987.59	995.59	2400153
 2010/09/02	1001.6	1018.28	996.52	1014.92	2758003
 2010/09/03	1017.64	1045.21	1017.51	1036.7	3186012
 2010/09/06	1039.46	1043.24	1007.43	1010.76	2546962
 2010/09/07	1010.12	1022.62	1007.64	1022.62	1686002
 2010/09/08	1020.23	1027.64	1016.84	1026.33	1801644
 2010/09/09	1029.11	1040.67	1019.69	1021.83	2365284
 2010/09/10	1021.87	1037.51	1016.19	1034.94	2210901
 2010/09/13	1034.39	1045.39	1033.25	1042.48	2010292
 2010/09/14	1044.3	1046.13	1028.77	1031.22	1940841
 2010/09/15	1029.52	1030.02	987.05	990.1	2216464
 2010/09/16	989.49	994.95	964.53	972.6	1717924
 2010/09/17	976.07	981.73	967.56	972.23	1450030
 2010/09/20	972.45	975.26	947.41	949.2	1292681
